Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_01_569.jpg;2.021577;1;0;1.32928;100.3808;86.46236;1.2348;50.79315;-0.0007889899
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_01_619.jpg;5.004119;1;0;1.360078;100.4314;86.52649;1.237854;51.06396;-0.0002822647
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_01_669.jpg;6.998581;1;0;1.407948;100.4651;86.57111;1.234006;51.41355;0.006222758
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_01_719.jpg;5.938625;1;0;1.437535;100.5168;86.64029;1.236164;51.95363;0.0007227007
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_01_769.jpg;7.958826;1;0;1.483296;100.5515;86.68816;1.239105;52.37926;-0.0006392791
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_01_819.jpg;10.99063;1;0;1.513191;100.6028;86.76323;1.243022;53.27488;0.0218333
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_01_869.jpg;13.97227;1;0;1.555712;100.6363;86.81533;1.238579;54.05571;0.04849738
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_01_919.jpg;13.94923;1;0;1.585196;100.6854;86.89603;1.199667;55.40803;0.0819358
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_01_969.jpg;11.94991;1;0;1.630464;100.7177;86.95161;1.160559;56.34028;0.1009879
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_02_019.jpg;8.954948;1;0;1.662261;100.7673;87.03731;1.118371;57.48245;0.1096667
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_02_070.jpg;5.958671;1;0;1.709549;100.8012;87.09609;1.107525;58.07651;0.1062314
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_02_119.jpg;2.96245;1;0;1.739957;100.8543;87.18652;1.134745;58.62717;0.08344529
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_02_169.jpg;0;1;0;1.784667;100.8913;87.24813;1.177393;58.79793;0.05356136
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_02_219.jpg;0;1;0;1.81427;100.9487;87.3424;1.263777;58.84596;-0.001312836
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_02_269.jpg;0;1;0;1.858597;100.9872;87.40654;1.30654;58.85737;-0.002470343
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_02_320.jpg;0;1;0;1.888775;101.046;87.50386;1.32294;58.8554;-0.001539738
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_02_369.jpg;0;1;0;1.936423;101.086;87.56961;1.309138;58.8485;-0.001264715
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_02_419.jpg;0;1;0;1.967501;101.1473;87.67008;1.284007;58.83647;-0.0007061681
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_02_468.jpg;0;1;0;2.012107;101.1891;87.73865;1.289016;58.82893;-0.0006313119
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_02_519.jpg;0;1;0;2.040987;101.2531;87.8434;1.301593;58.81572;-0.001146807
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_02_569.jpg;0;1;0;2.086001;101.2964;87.91438;1.302538;58.80719;-0.001136853
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_02_619.jpg;0;1;0;2.11501;101.3626;88.02277;1.303582;58.79541;-0.001155401
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_02_669.jpg;0;1;0;2.160003;101.4076;88.09632;1.306566;58.78719;-0.001177233
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_02_720.jpg;0;1;0;2.189386;101.4762;88.20851;1.311882;58.77744;-0.001213904
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_02_768.jpg;0;1;0;2.233644;101.5227;88.28455;1.314261;58.76876;-0.001205178
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_02_820.jpg;0;1;0;2.262357;101.5936;88.40041;1.314573;58.75781;-0.001204405
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_02_868.jpg;0;1;0;2.306867;101.6417;88.47892;1.316023;58.74953;-0.001223967
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_02_918.jpg;0;1;0;2.335924;101.715;88.59859;1.322081;58.73806;-0.00124468
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_02_969.jpg;0;1;0;2.378909;101.7646;88.67956;1.323922;58.73197;-0.001260506
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_03_019.jpg;0;1;0;2.40862;101.8402;88.80286;1.325551;58.71896;-0.001267179
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_03_068.jpg;0;1;0;2.451861;101.8913;88.8863;1.328443;58.71118;-0.001280364
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_03_118.jpg;0;1;0;2.48062;101.9693;89.01333;1.334547;58.69988;-0.001307349
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_03_168.jpg;0;1;0;2.523167;102.0219;89.09917;1.335133;58.69371;-0.00132176
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_03_219.jpg;0;1;0;2.552559;102.1021;89.22973;1.333561;58.68044;-0.001303318
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_03_269.jpg;0;1;0;2.59531;102.1563;89.318;1.333961;58.67234;-0.001305774
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_03_319.jpg;0;1;0;2.623727;102.2388;89.45224;1.336584;58.66029;-0.001315703
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_03_368.jpg;0;1;0;2.666239;102.2945;89.54295;1.339362;58.65222;-0.001329075
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_03_419.jpg;0;1;0;2.69451;102.3793;89.68081;1.344319;58.64015;-0.001346718
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_03_469.jpg;0;1;0;2.736816;102.4366;89.77392;1.347672;58.63214;-0.001357982
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_03_519.jpg;0;1;0;2.764953;102.5236;89.91534;1.352018;58.62022;-0.001387929
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_03_568.jpg;0;1;0;2.807053;102.5824;90.0108;1.354169;58.61232;-0.001401007
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_03_619.jpg;0;1;0;2.835042;102.6717;90.15574;1.356053;58.60043;-0.001406986
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_03_669.jpg;0;1;0;2.876902;102.7319;90.25352;1.356449;58.5924;-0.001410376
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_03_718.jpg;0;1;0;2.904721;102.8234;90.40204;1.360064;58.58124;-0.0009770188
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_03_769.jpg;0;1;0;2.946056;102.8852;90.50223;1.36507;58.57065;-0.0014257
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_03_820.jpg;0;1;0;2.973756;102.979;90.65422;1.369222;58.55744;-0.001460877
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_03_869.jpg;0;1;0;3.015194;103.0423;90.75668;1.369682;58.54916;-0.001468136
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_03_920.jpg;0;1;0;3.042731;103.1382;90.91215;1.371498;58.53782;-0.001030907
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_03_969.jpg;0;1;0;3.083622;103.203;91.01695;1.374479;58.52704;-0.001470168
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_04_065.jpg;0;1;0;3.111016;103.3342;91.22924;1.374173;58.509;-0.001488369
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_04_086.jpg;0;1;0;3.138339;103.4007;91.33683;1.378632;58.49977;-0.001390239
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_04_135.jpg;0;1;0;3.192505;103.5016;91.49983;1.37976;58.48494;-0.001506574
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_04_186.jpg;0;1;0;3.220084;103.5696;91.60971;1.385041;58.4753;-0.001416584
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_04_236.jpg;0;1;0;3.259969;103.6727;91.77612;1.386348;58.46022;-0.001536068
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_04_286.jpg;0;1;0;3.287406;103.7421;91.88824;1.391165;58.45045;-0.001446212
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_04_336.jpg;0;1;0;3.327083;103.8474;92.05801;1.391098;58.43523;-0.001561852
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_04_386.jpg;0;1;0;3.354369;103.9183;92.17236;1.394728;58.42529;-0.001466017
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_04_436.jpg;0;1;0;3.393823;104.0258;92.34554;1.39694;58.41065;-0.001114239
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_04_486.jpg;0;1;0;3.420226;104.0981;92.46207;1.398149;58.39862;-0.001578163
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_04_536.jpg;0;1;0;3.459888;104.2078;92.6386;1.403826;58.38187;-0.001602827
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_04_586.jpg;0;1;0;3.486475;104.2816;92.75738;1.406218;58.37234;-0.001151661
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_04_637.jpg;0;1;0;3.52593;104.3934;92.93713;1.406002;58.35474;-0.00161684
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_04_686.jpg;0;1;0;3.552771;104.4687;93.05811;1.408421;58.34392;-0.001523806
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_04_736.jpg;0;1;0;3.591285;104.5827;93.24124;1.413569;58.32572;-0.001646443
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_04_786.jpg;0;1;0;3.617585;104.6594;93.3644;1.414922;58.31561;-0.001177793
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_04_836.jpg;0;0.8980541;0;3.656412;104.7755;93.55069;1.418102;58.29687;-0.001560536
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_04_886.jpg;0;0.748387;0;3.678588;104.8535;93.67575;1.416658;58.28489;-0.00155437
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_04_936.jpg;0;0.5979521;0;3.703215;104.9711;93.86416;1.403933;58.26528;-0.001001217
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_04_986.jpg;0;0.44779;0;3.715058;105.0497;93.99007;1.385497;58.24976;-0.000969183
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_05_036.jpg;0;0.300619;0;3.724358;105.1677;94.17889;1.332441;58.22553;-0.0008818665
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_05_086.jpg;0;0.150202;0;3.726248;105.2462;94.30449;1.276555;58.2094;-0.000815823
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_05_136.jpg;0;0;0;3.720489;105.3636;94.49201;1.155058;58.18586;-0.000678034
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_05_187.jpg;0;0;0;3.712926;105.4414;94.61633;1.049501;58.1709;-0.0005570207
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_05_237.jpg;0;0;0;3.701098;105.5575;94.80184;0.8624485;58.1498;-0.0002162694
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_05_287.jpg;0;0;0;3.693188;105.6346;94.92495;0.7236776;58.13666;7.727268E-05
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_05_336.jpg;0;0;0;3.681298;105.7497;95.10894;0.5021532;58.12104;0.005335529
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_05_387.jpg;0;0;0;3.673369;105.8261;95.23122;0.3497514;58.11311;0.01253373
/Users/jarry/OneDrive - Clemson University/Udacity/Robotics Nanodegree/Project1/RoboND-Rover-Project-master/IMG/robocam_2017_07_04_09_50_05_435.jpg;0;0;0;3.661347;105.9404;95.41417;0.1202755;58.10529;0.02925553
